TWEET,MT1,MT2,MT3,SASI
14.5mil people are now unemployed + looking for jobs. The unemployment rate jumped to 9.4% from 8.9%. Tips: LINK TREF ,2,1,1,1
album art making swift progress. Sunley ++!,1,1,1,1
"Am I always talking about food?? REF This is for you, fat kid.",4,5,3,5
And Nicole rode their bikes to church... Now it looks like It's going to rain. Great!,4,5,3,5
Any questions on how the Lakers are going to play???? Lakers!!,1,4,3,4
Anyone here on tworld have tiger woods 2010 on the wii? Send me a friend code and we can play,1,1,1,2
"Apparently, there is no such thing as a 'Social Media Marketer' (interesting article):  LINK ",3,5,1,1
Are these siamese-looking cherries safe to eat? It just looks wrong.,2,5,2,4
"As a man trying to score with a woman, you do not want her to be guarded or uncomfortable around you.",1,1,2,1
At phloflo don't use the persons user name when tweeting we can make a default accout so every one. uses that persons user name I'll dm ppl,1,4,1,1
back from summer school. Movies with Katie tonight!,1,1,1,1
Back to netbeans and intranet apps ... back to trees????,4,5,4,5
"Bing is alright, but it's more Live\/MSN than Google. In fact, it just looks like Live search has been reskinned. The results are identical.",1,3,1,4
Bobbing around in Mahone Bay. Guys trying to save a sinking speed boat :),3,4,1,1
"By the way, the place was bound up because of road construction and there were cops and fire engines on their way as I tried to slide by.",1,1,1,1
"chillin, watching a movie :O)",1,1,1,1
Cool wallpaper for iPhone & iPod Touch: LINK and LINK ,2,1,1,1
Dances In The Kitchen: Social Networking: Enter a veritable smorgasboard of culinary activity in North America. .. LINK ,1,2,1,1
Dear iPod: why can't you read my mind and play the music i want to hear???,2,5,3,4
Did you ever ask anyone out whilst doing surgery???TREF ,2,4,1,4
Did you hear about cro cop? Well I didnt see that one coming. Punkd us all I guess. Sticking it to the man I guess. (\\That man being DW),4,5,3,5
"Didn't iron shirt. It still looks okay. I guess. Anyway, I think I'm running a bit late. Oh well.",1,5,1,4
Dizan and I watchin opra!!!,1,2,1,1
"euna lee wiki: LINK Princess Hours (Korean: %uAD81, Hanja: %u5BAB, romanized as Goong and also known as Th ...",1,1,1,1
"Even if I understand and use a lot tags in photos, I still don't see the use of Gravityapps' Tags. Anybody is using it ?",1,3,1,2
Extra Marital Affairs: Extra marital affairs are often perceived as a repercussion of a poor marital relationshi.. LINK ,1,1,1,1
Feels like its feeding time.,2,4,1,1
Finished the anime Kannagi.  It got weird in the end with no comedy.  Ending was okay I guess.,1,4,1,5
First tweet from iphone Tweetdeck app. Pretty much a mobile version of the desktop app. that I love,1,4,1,1
For Everyone who doesn't know this....  I Hate The Olive Garden!! No sir I will not be there = ) thanks but no thanks!!!,1,5,3,5
Gah! Woke up n now having a headache :\/,1,5,1,1
ghanaian champs claim everton to play them in ghana july 12 LINK ,1,1,1,1
Gind contest??? someone needs to slap spectaculars PR and Him!,4,5,3,4
"Go magic tonight, enen this thing up",1,3,1,1
Gonna ball it upp at the gym lets see how training camp works off on me. Gonna own some nukkas!,1,4,1,2
Guess what lupe?????!!!! Chicken but!!!! Ha ha ha remember how ppl u to say that? How annoying lmao,2,5,2,5
Hanging with jess ;-) then back to mi &lt;*Shana*&gt;,1,1,1,2
"Have I mentioned I love my job? Even Leon the Chameleon's looking very green this morning. Still digesting his cockroaches, I guess.",5,3,5,5
how do you incorporate full demonic metabolic transformation in a London setting with 3 main characters and a genetic reason 4 abilities???,2,4,4,5
Hypes in advertising. When it works and when it doesn't. LINK  [PLEASE RT THIS],1,1,3,5
I am trying to get my mess of a condo cleaned up so it actually looks like people live here. Right now it looks like Hurricaine Ayla hit!,1,3,2,4
I can't get anything done when my mind is all over the place!,2,1,3,1
"I had my sister paint my toenails for me, now it looks like a strawberry!",3,3,3,4
"I have not been dumped yet, for my many morning tweets, and I am approaching fifty.  I wonder what the magic number is.  More to come.",1,3,4,1
i just put my cellphone to my ear and waited for the dial tone...just as long as i don't doze off and wrap my car around a tree i guess...,4,3,5,5
i just thought of something that i could do.. but i'd need permission i guess..,5,3,2,4
"I knew i shouldnt have painted my nails... now i picked some polish off, and now it looks like turd. Blech. Anyway. I am off to beds. Ttys.",1,2,1,4
"I'm updating my iPhone to 3.0 now, even though I can't even use it here in Finland with my operator Elisa Oyj. iPhone = defective by design.",1,5,4,5
I'm writing another Quick Tip. Plenty of Free Tips are available on LINK ,1,3,1,1
is bored; maybe looking through some magazines.,1,1,1,1
is kicking back listening to ACDC - Black Ice whilst unwrapping my new wipper snipper.Should I use the instructions????,1,3,4,4
Is saying DONT FRONT... We all have shows that we just kant stand!!! and dont overstand why there is so much hype around it! Name a show???,1,3,4,4
It amazes me that we have so many right wing nut jobs in this world.  What the hell happened????,1,3,3,4
it's about damn time you start playing like world champs... now bring it back home with you silly phillies!,1,2,4,1
"Jewels and Princess footwear, a shoe dream that is Holster Fashion - LINK ",1,1,5,1
just for the record...this whole joining twitter thing was a joke. but now it looks like i might actually use it...,2,2,3,5
"Just got finished making tomorrows dinner for REF hope she likes chicken, noodles and bacon in a creamy sauce. Yum!",4,1,5,1
"just washed my sisters car, got totally soaked coz the actual hose thing came off, but i did a good job i guess.",1,1,2,5
"Lastnight i slept on my hair wet, and now it looks like just  i walked through a hurricane",1,3,2,4
