,Score,user_id,review_id,text,votes.cool,business_id,votes.funny,stars,date,type,votes.useful
5,0.00276442314498,PP_xoMSYlGr2pb67BbqBdA,7N9j5YbBHBW6qguE5DAeyA,"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.",0,UsFtqoBl7naz8AVUBZMjQQ,0,1,2014-10-29,review,0
10,0.0,-6rEfobYjMxpUWLNxszaxQ,rkD7UDbQ9VM3Va6bI-eBHQ,"Owning a driving range inside the city limits is like a license to print money.  I don't think I ask much out of a driving range.  Decent mats, clean balls and accessible hours.  Hell you need even less people now with the advent of the machine that doles out the balls.  This place has none of them.  It is april and there are no grass tees yet.  BTW they opened for the season this week although it has been golfing weather for a month.  The mats look like the carpet at my 107 year old aunt Irene's house.  Worn and thread bare.  Let's talk about the hours.  This place is equipped with lights yet they only sell buckets of balls until 730.  It is still light out.  Finally lets you have the pit to hit into.  When I arrived I wasn't sure if this was a driving range or an excavation site for a mastodon or a strip mining operation.  There is no grass on the range. Just mud.  Makes it a good tool to figure out how far you actually are hitting the ball.  Oh, they are cash only also.

Bottom line, this place sucks.  The best hope is that the owner sells it to someone that actually wants to make money and service golfers in Pittsburgh.",0,cE27W9VPgO88Qxe4ol6y_g,0,1,2013-04-18,review,1
11,0.0,KZuaJtFindQM9x2ZoMBxcQ,WExNE-f93SL4D1q8s9QWKg,"This place is absolute garbage...  Half of the tees are not available, including all the grass tees.  It is cash only, and they sell the last bucket at 8, despite having lights.  And if you finish even a minute after 8, don't plan on getting a drink.  The vending machines are sold out (of course) and they sell drinks inside, but close the drawers at 8 on the dot.  There are weeds grown all over the place.  I noticed some sort of batting cage, but it looks like those are out of order as well.  Someone should buy this place and turn it into what it should be.",0,cE27W9VPgO88Qxe4ol6y_g,0,1,2013-07-14,review,0
15,0.0,l_szjd-ken3ma6oHDkTYXg,CFiLh7WvH7dM3qVZvNiacQ,"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction. This led to us waiting another 30 minutes for him to correct it. Don't visit this store if you want pleasant or good service.",1,HZdLhv6COCleJMo7nPl-RA,1,2,2013-12-23,review,1
17,0.0,4H-IfBDP5GkfNsQeHi4sHA,OEopG9TyhSyyrTk2Uy5SZA,"My fiancé upgraded his phone at the Apple store, but got a strange text on his new phone about his plan. We went over to the Verizon store to see what was up, and that was about as pleasant as having forks jammed in my eyes. Awful customer service. No one came up to ask us if we needed help. We had to tear a disgruntled man away from looking at his instagram feed to help us. He didn't say there would be a wait or to sit or anything, just said ""okay then"" and left us. So we stood there waiting for help or even just directions for far too long, were ignored and told him we were leaving. Awful awful awful customer service.",0,HZdLhv6COCleJMo7nPl-RA,0,1,2015-05-06,review,0
18,0.0,Qs5dcst13DnQJwaBcR4VGg,VXWdUDrVpBAvzaxnHpRUAw,"Waited over 45 mins, 2 people ahead of me and I'm finally getting helped...  Wtf???
I can understand them being busy but that was ridiculous.  I work out in Robinson and went to the Settlers Ridge location and BOY- WHAT A DIFFERENCE.  They were awesome.  In & out the door in 20 minutes- I ended up with a new 6s and my wife ordered a 6sPlus... All in less than 20 minutes!  I'll never go to this store anymore.",1,HZdLhv6COCleJMo7nPl-RA,1,1,2015-11-02,review,1
38,0.0,7Qv1qr1qPnHqUbAHvj52aQ,P7z3HyTD8LKOxieUXZ4ddA,"Don't go here! This place is a scam. When it comes to opening, freezing, and canceling your membership it is not easy or convenient and they get every last penny from you for a mediocre gym with sweaty smelly locker rooms. Go to LA Fitness. Bad experience here.",0,VHYT1qgQw5JvXAlUDhTArA,0,1,2015-06-25,review,0
47,0.0,GcBAIs4pzeK6OzHpawgZlg,UVx5-SD8RyZu3NPRU5GwZg,Very disappointed in the customer service. We ordered Reuben's  and wanted coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also terrible tasting.,0,KayYbHCt-RkbGcPdGOThNg,0,2,2014-03-13,review,0
56,0.0,xzie68uK2ViI0ddnLHw1tw,N1O_3yeUB0nn3otEJc88tA,"Used to go there for tires, brakes, etc.  Their prices have gone way up-$400 for 4 mid-level tires for a Toyota.  Plus, 1 of the new tires went flat within 3 weeks.  Since they don""t make appointments,  the wait to get the tire looked at was ~2 hours.  Sorry--can't wait that long to get a warranted repair,  They lost my business for good.",0,b12U9TFESStdy7CsTtcOeg,0,1,2012-12-14,review,1
57,0.0,trYPAmnPz6ChpIgx0jGbyg,DuTV6MVj5qjTJTlpwlUsBw,"I got 'new' tires from them and within two weeks got a flat. I took my car to a local mechanic to see if i could get the hole patched, but they said the reason I had a flat was because the previous patch had blown - WAIT, WHAT? I just got the tire and never needed to have it patched? This was supposed to be a new tire. 
I took the tire over to Flynn's and they told me that someone punctured my tire, then tried to patch it. So there are resentful tire slashers? I find that very unlikely. After arguing with the guy and telling him that his logic was far fetched he said he'd give me a new tire ""this time"". 
I will never go back to Flynn's b/c of the way this guy treated me and the simple fact that they gave me a used tire!",0,b12U9TFESStdy7CsTtcOeg,0,1,2013-03-21,review,1
